module,task,metric_kind,proxy_corruption_fraction,replicate,random_score,grouped_score_under_proxy,true_grouped_score,gap_under_proxy,true_gap,gap_retention,proxy_n_groups
Corroded RC beams,Corroded RC beam moment capacity,regression,0.25,5,0.9742138036806559,0.9360406880398633,0.8003943016620045,0.03817311564079262,0.17381950201865137,0.2196135370166722,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.5,1,0.9742138036806559,0.9608654034766451,0.8003943016620045,0.013348400204010846,0.17381950201865137,0.07679460618048786,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.5,2,0.9742138036806559,0.9632838258916727,0.8003943016620045,0.010929977788983192,0.17381950201865137,0.06288119377887973,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.5,3,0.9742138036806559,0.9616010521714281,0.8003943016620045,0.012612751509227804,0.17381950201865137,0.07256234980971478,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.5,4,0.9742138036806559,0.9642922744046094,0.8003943016620045,0.009921529276046503,0.17381950201865137,0.057079494307732466,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.5,5,0.9742138036806559,0.9646363164605611,0.8003943016620045,0.009577487220094771,0.17381950201865137,0.05510018788954462,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.75,1,0.9742138036806559,0.9710696508599204,0.8003943016620045,0.0031441528207355462,0.17381950201865137,0.01808860791925505,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.75,2,0.9742138036806559,0.9708771673053954,0.8003943016620045,0.0033366363752604933,0.17381950201865137,0.019195983974815794,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.75,3,0.9742138036806559,0.971490535786377,0.8003943016620045,0.0027232678942789024,0.17381950201865137,0.015667217214709817,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.75,4,0.9742138036806559,0.9709291643371026,0.8003943016620045,0.003284639343553275,0.17381950201865137,0.018896840143983514,54
Corroded RC beams,Corroded RC beam moment capacity,regression,0.75,5,0.9742138036806559,0.9720179461574407,0.8003943016620045,0.002195857523215161,0.17381950201865137,0.012632975573589774,54
Corroded RC beams,Corroded RC beam moment capacity,regression,1.0,1,0.9742138036806559,0.9722430429546327,0.8003943016620045,0.001970760726023202,0.17381950201865137,0.011337972454964996,54
Corroded RC beams,Corroded RC beam moment capacity,regression,1.0,2,0.9742138036806559,0.9726134514564105,0.8003943016620045,0.0016003522242453716,0.17381950201865137,0.009206977385504468,54
Corroded RC beams,Corroded RC beam moment capacity,regression,1.0,3,0.9742138036806559,0.9732559137921435,0.8003943016620045,0.0009578898885124199,0.17381950201865137,0.005510830933169025,54
Corroded RC beams,Corroded RC beam moment capacity,regression,1.0,4,0.9742138036806559,0.9712362391055528,0.8003943016620045,0.00297756457510312,0.17381950201865137,0.017130210019722748,54
Corroded RC beams,Corroded RC beam moment capacity,regression,1.0,5,0.9742138036806559,0.9721943086970878,0.8003943016620045,0.0020194949835681264,0.17381950201865137,0.011618345238104687,54
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,0.0,1,0.5528695151215022,0.055118216785339236,0.055118216785339236,0.49775129833616294,0.49775129833616294,1.0,28
